id;nome;dettagli;denominazione;prezzo_in_cents;alcool;temperatura_servizio;tipo;produttore;ordine_minimo;url_immagine;contiene_solfiti;volume_cc;anno;vitigno
1;Barbera ;VigneVecchie Superiore;DOCG;3800;15;20;rosso;Vinchio Vaglio Serra;3;barbera vignevecchie.jpg;true;75;2017;
2;Barbera ;TreVescovi Superiore;DOCG;2000;14;20;rosso;Vinchio Vaglio Serra;6;barbera trevescovi.jpg;true;75;2019;
3;Castel Del Mago;Vino Spumante Extra Dry Rosè ;;1800;12.5;15;rose;Vinchio Vaglio Serra;6;castel del mago.jpg;true;75;;
4;Gin ;Premium Smoke;;1500;42;19;liquore;Bordiga;6;gin_premium_smoke.jpg;false;70;;
5;Moscato d'Asti ;Piccole Gioie;DOCG;2300;6.5;10;bianco;Ghione;6;moscato piccole gioie.jpg;true;75;;
6;Grappa di Nebbiolo;da Barolo Top;;;40;15;liquore;Vieux Moulin;6;grappa di barolo da nebbiolo top.jpg;false;70;;
7;Grappa di Barolo;Riserva 2003;;;46;20;liquore;Vieux Moulin;6;grappa di barolo riserva.jpg;false;70;;
8;Gavi;del Comune di Gavi;DOC;2200;13;15;bianco;Raggio;6;gavi del comune di gavi.jpg;true;75;;
9;Limoncello;;;;28;5;liquore;Vieux Moulin;3;limoncello.jpg;false;70;;
10;Grappa di Moscato;Armonia 10 Anni;;;43;20;liquore;Vieux Moulin;3;grappa di moscato armonia 10 anni.jpg;false;70;;
11;Grappa di Barolo;Armonia 10 Anni;;;43;20;liquore;Vieux Moulin;3;grappa di barolo armonia 10 anni.jpg;false;70;;
12;Nocino;;;;30;20;liquore;Vieux Moulin;3;nocino vieux moulin.jpg;false;70;;
13;Grappa di Moscato;Invecchiato;;;40;20;liquore;Vieux Moulin;3;grappa di moscato vieux moulin.jpg;false;70;;
14;Moscato d'Asti ;Canelli;DOCG;2800;6.5;15;bianco;Ghione;6;moscato d'asti canelli ghione.jpg;true;75;;
15;Moscato d'Asti ;Valamasca;DOCG;1500;5;15;bianco;Vinchio Vaglio Serra;6;moscato d'asti valamasca.jpg;true;75;;
16;Liquore al Caffé;;;;30;20;liquore;Vieux Moulin;3;liquore al caffe vieux moulin.jpg;false;70;;
17;Barbera;Insynthesis Superiore;DOCG;6400;14.5;18;rosso;Vinchio Vaglio Serra;3;barbera insynthesis superiore.jpg;true;75;2015;
18;Gin;Premium Rosa;;;42;20;liquore;Bordiga;6;gin premium rosa bordiga.jpg;false;70;;
19;Gin;Occitan;;;42;20;liquore;Bordiga;6;gin occitan bordiga.jpg;false;70;;
20;Amaro;Chiot;;;18;18;liquore;Bordiga;6;amaro chiot bordiga.jpg;false;50;;
21;Liquore alla Camomilla;;;;28;18;liquore;Bordiga;6;liquore camomilla bordiga.jpg;false;50;;
22;Ruché;L'Accento Superiore;DOCG;2800;15;18;rosso;Montalbera;6;ruche accento superiore montalbera.jpg;true;75;2020;
23;Passerina;Tullum ;DOCG;3500;;18;rosso;;6;passerina tullum.jpg;true;75;2018;
24;Toselli;Spumante White;;1000;0;15;spumante;Bosca;12;toselli spumante white.jpg;true;75;;
25;Toselli;Spumante Red;;1000;0;15;spumante;Bosca;12;toselli spumante red.jpg;true;75;;
26;Prosecco;;;1500;11.5;15;bianco;Bosca;6;prosecco bosca.jpg;true;75;;
27;Vermouth Rouge;;;1500;16;18;vermouth;Bosca;6;vermouth rosso bosca.jpg;true;75;;
28;Vermouth Blanc;;;1500;16;8;vermouth;Bosca;6;vermouth bianco bosca.jpg;true;75;;
29;Amarone;;DOCG;7000;15.5;18;rosso;Scuderia Italia;3;amarone scuderia italia.jpg;true;75;;
30;Brunello di Montalcino;;DOCG;8000;14.5;18;rosso;Scuderia Italia;3;brunello di montalcino scuderia italia.jpg;true;75;;
31;Sparkletini;Canette Vin Blanc;;150;5;10;spumante;Bosca;24;sparkletini bosca lampone.jpg;false;25;;
32;Vernaccia di San Gimignano;Riserva;DOCG;1800;14;10;bianco;Strozzi;6;vernaccia di san gimignano strozzi.jpg;true;75;;
33;Lugana;;DOCG;2100;13;15;bianco;Scuderia Italia;6;lugana scuderia italia.jpg;true;75;;
34;Chianti;;DOCG;1800;15.5;18;rosso;Scuderia Italia;6;chianti scuderia italia.jpg;true;75;;
35;Prosecco Valdobbiadene;Extra-Dry ;DOCG;2500;;15;bianco;Follador;6;prosecco valdobbiadene dry follador.jpg;true;75;;
36;Prosecco Valdobbiadene;Extra-Brut ;DOCG;2500;;15;bianco;Follador;6;prosecco valdobbiadene brut follador.jpg;true;75;;
37;Vermouth;;;1800;18;18;vermouth;Martelletti;6;vermouth martelletti.jpg;true;70;;
38;Sangue di Giuda;Bio;DOC;1800;5.5;15;rosso;Quaquarini;6;sangue di giuda quaquarini.jpg;true;75;;
39;Pugnitello;Toscana Biologico;;72;14.5;18;rosso;Fazzuoli;3;pugnitello fazzuoli.jpg;true;75;2012;
40;Roero Arneis;Frusté;DOCG;2200;13.5;15;bianco;Vinchio Vaglio Serra;6;roero arneis fruste vinchio.jpg;true;75;2020;
41;Barbera;VigneVecchie50 Superiore;DOCG;3000;14.5;18;rosso;Vinchio Vaglio Serra;6;barbera vignevecchie50 superiore.jpg;true;75;2019;
42;Morellino di Scansano;;DOCG;1500;14;18;rosso;Strozzi;6;morellino di scansano strozzi.jpg;true;75;2020;
43;Barolo;;DOCG;7000;14.5;18;rosso;Scuderia Italia;3;barolo scuderia italia.jpg;true;75;;
44;Valpolicella;Ripasso Superiore ;DOC;2100;15.5;18;rosso;Scuderia Italia;6;valpolicella ripasso scuderia italia.jpg;true;75;;
